hour	value	emotion
0	6193	positive
0	463	negative
1	7076	positive
1	456	negative
2	6507	positive
2	369	negative
3	5182	positive
3	235	negative
4	4603	positive
4	194	negative
5	4438	positive
5	190	negative
6	4494	positive
6	217	negative
7	4058	positive
7	273	negative
8	4093	positive
8	220	negative
9	4929	positive
9	342	negative
10	5749	positive
10	478	negative
11	6195	positive
11	505	negative
12	6424	positive
12	509	negative
13	6230	positive
13	491	negative
14	6300	positive
14	487	negative
15	6090	positive
15	484	negative
16	6108	positive
16	484	negative
17	5843	positive
17	497	negative
18	5846	positive
18	480	negative
19	6196	positive
19	452	negative
20	6110	positive
20	468	negative
21	6226	positive
21	463	negative
22	6778	positive
22	496	negative
23	6382	positive
23	488	negative
